edge,longitude,latitude
42439990_42430347,-73.98366643635369,40.7579938777735
42439994_42428303,-73.98487675791823,40.75933393112989
42439994_42439990,-73.98484982851018,40.75890998129345
42439996_42439994,-73.98439683006067,40.759531893973275
42439996_42430352,-73.98275839010873,40.759240884970104
42440001_42430358,-73.98183388119392,40.760502984817336
42440001_42432585,-73.98347790111383,40.76077874344272
42440004_42440001,-73.98302873240691,40.76140683747903
42440004_42428310,-73.98324264840069,40.76190235379687
42440009_42430363,-73.98092987326794,40.7617521137847
42440009_42440004,-73.98257746465862,40.7620334804777
42440012_42428313,-73.98239946668807,40.7631756267555
42440012_42440009,-73.98212252078591,40.76265622376988
42440015_42430371,-73.98001986048062,40.76299918216828
42440015_42440012,-73.98166513359239,40.76327998789736
42440020_42440015,-73.9812042737215,40.76391079567355
42440020_42428321,-73.98161664144827,40.764504497431076
42440153_42445928,-73.97639854401905,40.75820365324065
42440153_42432580,-73.977434398722,40.75822666412265
42440163_42435684,-73.98752196499244,40.7628921830864
42440163_42432594,-73.98917203524168,40.763175704969576
42440170_42440163,-73.99036405203722,40.76408819529406
42440452_42430361,-73.97835448176315,40.75985580820933
42440452_42440153,-73.97697361224809,40.75885949429494
42440453_42440452,-73.97593862154875,40.75882920493513
42440951_42450426,-73.97515490674868,40.76136220440792
42440951_42430375,-73.97653418421456,40.76235837357069
42440960_42445033,-73.98689835156766,40.766316342362025
42440960_42440966,-73.98808152812448,40.76723143343214
42443528_42445926,-73.97731129639742,40.756943609869566
42443528_42452353,-73.97833402269774,40.75697116623871
42443532_42435680,-73.98843842091182,40.76163450042612
42443532_42445020,-73.99008762086953,40.76191887877432
42443534_42443532,-73.99128004674523,40.762829805203175
42443556_42445920,-73.97913618612297,40.75444093273855
42443556_42454428,-73.98016726726034,40.75447398120291
42443561_42435671,-73.99026325421863,40.759130289980696
42443561_42445011,-73.9919110492403,40.759416049446614
42443563_42443561,-73.99310434034618,40.760327496282315
42444043_42432693,-73.97867816423019,40.755074674630585
42445011_42454433,-73.99355556251435,40.759707253526095
42445011_42437368,-73.99239213724825,40.758768190729604
42445018_42432703,-73.99099685609792,40.76067095444056
42445018_42435675,-73.98934706880634,40.76038839410513
42445020_42452365,-73.99173611329793,40.762204455425476
42445020_42445018,-73.99054214525083,40.76129629615246
42445025_42454042,-73.98990919090524,40.764710824899026
42445025_42440163,-73.98871625017803,40.76380128652367
42445027_42445025,-73.9882563986415,40.76443278533349
42445027_42435702,-73.9866087460817,40.76415429878715
42445033_42435707,-73.98569603247077,40.76539841217395
42445033_1815133244,-73.98735083180085,40.76568012984471
42445916_42437358,-73.98008158408227,40.75315055001625
42445917_42454428,-73.97958460569473,40.75382503387422
42445924_42452353,-73.97776077920011,40.75632279925178
42445941_42440951,-73.97411865474685,40.76133718867143
42446353_42440452,-73.976515143472,40.75948731854374
42446353_42445930,-73.97548500046481,40.759458775657016
42446363_42445027,-73.989439713714,40.76534718186937
42450426_42445936,-73.97457296027937,40.76071035020998
42450426_42436700,-73.97561135427003,40.760727015262354
42450434_42445033,-73.98854420829313,40.76658752299182
42452353_42430350,-73.98017692961552,40.75733871888292
42452353_42434072,-73.97878994124024,40.75634838077172
42454428_42430338,-73.98201020739279,40.75483558785719
42454428_42437358,-73.9806345736063,40.7538222310083
42455761_42445018,-73.99218751868014,40.761584414336546
1815133244_42445027,-73.98779938625542,40.76505959025164
1815133244_42449550,-73.98899417403878,40.76596537682248
5849918504_42445011,-73.99071816450976,40.75850568993083
5849918504_42435671,-73.98906951292405,40.758222009453746
