Time (s),Root Detector ID,Vehicle ID,Vehicle Type,Speed (m/s),Direction,CO2 Emission (mg)
146.0,42430338_42430342_127693103#4,veh_1526,car_cautious,8.08801549824188,Up,0.0
146.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.059317221939565,Right,0.0
146.0,42430371_42450426_46521993#2,veh_117,car_aggressive,23.138281658141434,Right,3237.1564907514594
146.0,42430375_42440020_499172074#1,veh_137,truck_normal,14.147934191712142,Left,13450.023963151452
146.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,24.21277268268638,Left,15197.570629320064
146.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,11.343309357284843,Right,2111.2796437882726
146.0,42440020_42428321_499172074#6,veh_139,bus_normal,12.084122548636515,Left,30173.839869133928
146.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.972692633209087,Left,5042.551089755975
146.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,12.74330982533312,Left,7996.674910740208
146.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
146.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,7.8841130906715975,Down,21334.63912290429
146.0,42445020_42445018_1136391284#1,veh_614,car_cautious,1.4743854546541435,Down,0.0
146.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.343309357284843,Down,2111.2796437882726
147.0,42428297_42439984_682360554#1,veh_783,car_normal,1.4203247060542712,Down,0.0
147.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.686931156370939,Left,2831.7986781222285
147.0,42428308_42440001_420908137#0,veh_842,truck_cautious,9.08710919816047,Right,23271.006398170848
147.0,42430338_42430342_127693103#4,veh_1526,car_cautious,4.03801549824188,Up,0.0
147.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.449677774645387,Right,7375.98243885554
147.0,42430371_42450426_46521993#2,veh_117,car_aggressive,23.62778953072478,Right,6956.322965713311
147.0,42430375_42440020_499172074#1,veh_137,truck_normal,13.909995698082225,Left,0.0
147.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,25.91477723803009,Left,16031.39158723327
147.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,11.35668103161016,Right,2203.22463719724
147.0,42440020_42428321_499172074#6,veh_139,bus_normal,13.05145748873474,Left,35509.27600425947
147.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.709201626943694,Left,1370.7549966644974
147.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,13.277234738422841,Left,27779.745791564612
147.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
147.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,8.421874442249536,Left,20383.460230485896
147.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.183606840211527,Down,2539.3869690389406
147.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.35668103161016,Down,2203.22463719724
148.0,42428297_42439984_682360554#1,veh_783,car_normal,0.13485471247642503,Down,2562.180575507218
148.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.708157534696312,Left,2246.4556063568425
148.0,42428308_42440001_420908137#0,veh_842,truck_cautious,9.946477369330823,Right,29024.889287436836
148.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.03368809774891039,Up,2585.196643343817
148.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.083054768033325,Right,2088.339404004714
148.0,42430371_42450426_46521993#2,veh_117,car_aggressive,23.03356460660559,Right,0.0
148.0,42430375_42440020_499172074#1,veh_137,truck_normal,13.94483927166179,Left,15125.957490630304
148.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,25.96133842222962,Left,4862.160071554788
148.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,10.504015425506323,Right,0.0
148.0,42440020_42428321_499172074#6,veh_139,bus_normal,13.450120878042654,Left,22675.419126043562
148.0,42440452_42430361_46538335#2,veh_1499,car_normal,11.847120961359039,Left,0.0
148.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,13.255523833418549,Left,13269.5931536258
148.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
148.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,8.943932201452553,Down,20913.422364859616
148.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0019482031422387068,Down,2624.3772206593744
148.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,10.504015425506323,Down,0.0
149.0,42428297_42439984_682360554#1,veh_783,car_normal,0.01087938981446205,Down,2622.959969620421
149.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.64785637909934,Left,1995.355594354253
149.0,42428308_42440001_420908137#0,veh_842,truck_cautious,10.771093413233757,Right,30083.576409796053
149.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.009331745975611382,Up,2623.452865551882
149.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.060665738824756,Right,4422.651524129318
149.0,42430371_42450426_46521993#2,veh_117,car_aggressive,22.622931107858687,Right,0.0
149.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,23.49457934673323,Left,0.0
149.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,10.638613937354922,Right,2506.085344740867
149.0,42440020_42428321_499172074#6,veh_139,bus_normal,13.73471691021463,Left,20225.512663395653
149.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.078574244909257,Left,2931.505491434682
149.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,10.505523833418549,Left,0.0
149.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
149.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,9.526719692945479,Down,22932.407544239362
149.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.00020388673028024447,Down,2624.6956755410242
149.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,10.638613937354922,Down,2506.085344740867
150.0,42428297_42439984_682360554#1,veh_783,car_normal,0.002212101433036543,Down,2624.430242732999
150.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.90690143462658,Left,2996.736537888953
150.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.006020028424000394,Up,2623.9362112081594
150.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.574993350151928,Right,8283.382376571053
150.0,42430371_42450426_46521993#2,veh_117,car_aggressive,22.44437916665201,Right,2622.3843509813246
150.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,18.553296794690255,Left,0.0
150.0,42440020_42428321_499172074#6,veh_137,truck_normal,13.72925983051859,Left,0.0
150.0,42440020_42428321_499172074#6,veh_139,bus_normal,13.840103188224603,Left,15879.080622210779
150.0,42440452_42430361_46538335#2,veh_1499,car_normal,11.764876512203633,Left,0.0
150.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,7.755523833418549,Left,0.0
150.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
150.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,7.352715485519661,Down,0.0
150.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0,Down,2624.722222222222
151.0,42428297_42439984_682360554#1,veh_783,car_normal,0.0006701233379724525,Down,2624.6350078933733
151.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.92989763958767,Left,2265.5612078086174
151.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.0011059038789077206,Up,2624.577324188792
151.0,42430358_42430361_1211049193#0,veh_562,car_normal,3.0366587204371767,Unknown,0.0
151.0,42430371_42450426_46521993#2,veh_117,car_aggressive,22.40283386303906,Right,3415.156257127773
151.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,13.857209748867032,Left,0.0
151.0,42440001_42430358_420908138#2,veh_842,truck_cautious,12.24814024206251,Right,26550.614755219012
151.0,42440020_42428321_499172074#6,veh_137,truck_normal,13.694661306767689,Left,13117.784965134395
151.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.236653524775326,Left,3717.2629171251247
151.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,8.731499649947793,Left,28382.249460851614
151.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
151.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,4.704040737929686,Down,0.0
151.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0,Down,2624.722222222222
152.0,42428297_42439984_682360554#1,veh_783,car_normal,0.0004605417807105953,Down,2624.662443431326
152.0,42428303_42435677_452322756#1,veh_597,car_cautious,12.04360684221998,Left,2557.669592045582
152.0,42428321_42435710_499172074#10,veh_139,bus_normal,13.693719349787571,Left,24775.33829540185
152.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.00047018786047880133,Up,2624.661139167957
152.0,42430358_42430361_1211049193#0,veh_562,car_normal,4.604879024995231,Up,4076.0928732686784
152.0,42430371_42450426_46521993#2,veh_117,car_aggressive,18.853002010999965,Right,0.0
152.0,42434072_42434074_5670225#1,veh_626,car_cautious,26.32155048215762,Right,0.0
152.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,9.435101235731565,Left,0.0
152.0,42440001_42430358_420908138#2,veh_842,truck_cautious,12.885815346501767,Right,29806.130296566065
152.0,42440020_42428321_499172074#6,veh_137,truck_normal,13.936026493265258,Left,20778.10970053347
152.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.81427121525471,Left,4180.473507659026
152.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
152.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,1.7040407379296845,Down,0.0
152.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0,Down,2624.722222222222
153.0,42428297_42439984_682360554#1,veh_783,car_normal,0.0,Down,2624.722222222222
153.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.638808501254916,Left,0.0
153.0,42428321_42435710_499172074#10,veh_139,bus_normal,13.808787170026918,Left,16095.568857276954
153.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.00041077048271806124,Up,2624.6689197145724
153.0,42430358_42430361_1211049193#0,veh_562,car_normal,6.011318419056685,Up,4332.24153713507
153.0,42430371_42450426_46521993#2,veh_117,car_aggressive,14.356246874809065,Right,0.0
153.0,42434072_42434074_5670225#1,veh_626,car_cautious,26.363199938628824,Right,4946.206146753912
153.0,42440001_42430358_420908138#2,veh_842,truck_cautious,13.395036148242651,Right,27310.309459643497
153.0,42440020_42428321_499172074#6,veh_137,truck_normal,13.620431937827693,Left,0.0
153.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.556879916878685,Left,1390.7347236523478
153.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
153.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,0.0,Down,7380.555555555556
153.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0,Down,2624.722222222222
154.0,42428297_42439984_682360554#1,veh_783,car_normal,0.00015364112309530417,Down,2624.702293624996
154.0,42428303_42435677_452322756#1,veh_597,car_cautious,12.031988105721922,Left,3433.150582931273
154.0,42428321_42435710_499172074#10,veh_139,bus_normal,13.641921218703501,Left,9047.275815882207
154.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.0,Down,2624.722222222222
154.0,42430358_42430361_1211049193#0,veh_562,car_normal,8.267496946871022,Up,6950.775876504694
154.0,42430361_42440004_569345538#1,veh_192,truck_aggressive,12.025735645080267,Left,33498.73788726514
154.0,42430371_42450426_46521993#2,veh_117,car_aggressive,9.406246874809064,Right,0.0
154.0,42434072_42434074_5670225#1,veh_626,car_cautious,26.772624067254366,Right,7634.90616007397
154.0,42440001_42430358_420908138#2,veh_842,truck_cautious,14.164612607248126,Right,35703.969438394975
154.0,42440020_42428321_499172074#6,veh_137,truck_normal,14.071569500529172,Left,26710.394594599144
154.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.656955402901664,Left,2570.2143257433886
154.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
154.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,0.0,Down,7380.555555555556
154.0,42445020_42445018_1136391284#1,veh_614,car_cautious,0.0,Down,2624.722222222222
155.0,42428297_42439984_682360554#1,veh_783,car_normal,0.0,Down,2624.722222222222
155.0,42428303_42435677_452322756#1,veh_597,car_cautious,12.136233797580154,Left,2536.040484159823
155.0,42428321_42435710_499172074#10,veh_139,bus_normal,13.22794704132015,Left,0.0
155.0,42430338_42430342_127693103#4,veh_1526,car_cautious,0.0,Down,2624.722222222222
155.0,42430358_42430361_1211049193#0,veh_562,car_normal,10.630151522064322,Up,8679.252392606031
